ID long b ID_2 long_2 b_2 m_sep
b299_501_4715 350.365481 -1.543862 b299_501_4715 350.365481 -1.543862 0.0
b299_501_78177 350.34091 -1.7254619999999998 b299_501_78177 350.34091 -1.7254619999999998 0.0
b299_501_87 350.28662099999997 -1.532291 b299_501_87 350.28662099999997 -1.532291 0.0
b299_503_30938 350.259233 -2.154931 b299_503_30938 350.259233 -2.154931 0.0
b299_503_9293 350.301546 -2.1044560000000003 b299_503_9293 350.301546 -2.1044560000000003 0.0
b299_503_13097 350.190312 -2.113249 b299_203_12964 350.190313 -2.113258 0.032599116206869755
b299_503_13097 350.190312 -2.113249 b299_503_13097 350.190312 -2.113249 0.0
b299_503_41954 350.20531800000015 -2.1812810000000002 b299_503_41954 350.20531800000015 -2.1812810000000002 0.0
b299_505_49059 350.608612 -1.6362299999999999 b299_505_49059 350.608612 -1.6362299999999999 0.0
b299_505_55381 350.62852599999997 -1.6497509999999995 b299_505_55381 350.62852599999997 -1.6497509999999995 0.0
b299_505_906 350.564271 -1.532581 b299_505_906 350.564271 -1.532581 0.0
b299_507_76035 350.726969 -2.25521 b299_507_76035 350.726969 -2.25521 0.0
b299_507_34429 350.56776 -2.160314 b299_507_34429 350.56776 -2.160314 0.0
b299_507_28830 350.599891 -2.147469 b299_507_28830 350.599891 -2.147469 0.0
b299_509_32746 350.962137 -1.602025 b299_509_32746 350.962137 -1.602025 0.0
b299_509_49933 350.966973 -1.640065 b299_509_49933 350.966973 -1.640065 0.0
b299_509_66359 351.10638900000015 -1.676438 b299_509_66359 351.10638900000015 -1.676438 0.0
b299_509_833 350.965669 -1.531484 b299_509_833 350.965669 -1.531484 0.0
b299_511_76571 350.986734 -2.253072 b299_511_76571 350.986734 -2.253072 0.0
b299_511_69557 351.108579 -2.236989 b299_511_69557 351.108579 -2.236989 0.0
b299_513_65028 351.4737 -1.6912060000000002 b299_513_65028 351.4737 -1.6912060000000002 0.0
b299_513_77813 351.317031 -1.719741 b299_414_2575 351.317036 -1.719744 0.02098447500021068
b299_513_77813 351.317031 -1.719741 b299_513_77813 351.317031 -1.719741 0.0
b299_513_36841 351.288098 -1.624223 b299_213_37766 351.288091 -1.624223 0.02518987511179581
b299_513_36841 351.288098 -1.624223 b299_513_36841 351.288098 -1.624223 0.0
b299_513_68 351.33014199999997 -1.530712 b299_513_68 351.33014199999997 -1.530712 0.0
b299_515_65002 351.37012200000015 -2.227019 b299_515_65002 351.37012200000015 -2.227019 0.0
b299_515_29923 351.456145 -2.147748 b299_515_29923 351.456145 -2.147748 0.0
b299_602_63218 350.26107 -2.044012 b299_602_63218 350.26107 -2.044012 0.0
b299_602_71205 350.276321 -2.062594 b299_602_71205 350.276321 -2.062594 0.0
b299_602_10058 350.222013 -1.9224259999999997 b299_602_10058 350.222013 -1.9224259999999997 0.0
b299_604_24872 350.325426 -2.50997 b299_604_24872 350.325426 -2.50997 0.0
b299_604_2340 350.36728 -2.455581 b299_404_75574 350.367277 -2.455594 0.04802776160057048
b299_604_2340 350.36728 -2.455581 b299_604_2340 350.36728 -2.455581 0.0
b299_606_5780 350.62018900000015 -1.909621 b299_406_92454 350.620198 -1.9096369999999998 0.0660783949643638
b299_606_5780 350.62018900000015 -1.909621 b299_606_5780 350.62018900000015 -1.909621 0.0
b299_606_17198 350.663957 -1.934362 b299_606_17198 350.663957 -1.934362 0.0
b299_606_44 350.652828 -1.896826 b299_606_44 350.652828 -1.896826 0.0
b299_610_48784 351.004919 -2.003364 b299_610_48784 351.004919 -2.003364 0.0
